Address,City,State,Zip Code,,Year,Owner Info,Land/Imp/Tot,Exemption,Assessed
201 UNION LN,BRIELLE,NJ,08730,Brielle,2025,"FLETCHER MARINE, LLC, 201 UNION LANE SUITE A, BRIELLE, NJ 08730","$947,100/$850,200/$1,797,300",$0,"$1,797,300"
201 UNION LN,BRIELLE,NJ,08730,Brielle,2024,"FLETCHER MARINE, LLC, 201 UNION LANE SUITE A, BRIELLE, NJ 08730","$902,000/$837,200/$1,739,200",$0,"$1,739,200"
201 UNION LN,BRIELLE,NJ,08730,Brielle,2023,"FLETCHER MARINE, LLC, 201 UNION LANE SUITE A, BRIELLE, NJ 08730","$861,000/$830,600/$1,691,600",$0,"$1,691,600"
201 UNION LN,BRIELLE,NJ,08730,Brielle,2022,"FLETCHER MARINE, LLC, 201 UNION LANE SUITE A, BRIELLE, NJ 08730","$820,000/$797,900/$1,617,900",$0,"$1,617,900"
201 UNION LN,BRIELLE,NJ,08730,Brielle,2021,"FLETCHER MARINE, LLC, 201 UNION LANE SUITE A, BRIELLE, NJ 08730","$731,900/$535,800/$1,267,700",$0,"$1,267,700"
201 UNION LN,BRIELLE,NJ,08730,Brielle,2020,"FLETCHER MARINE, LLC, 201 UNION LANE SUITE A, BRIELLE, NJ 08730","$688,800/$583,000/$1,271,800",$0,"$1,271,800"
201 UNION LN,BRIELLE,NJ,08730,Brielle,2019,"BRIELLE YACHT CLUB, 1671 BEAVER DAM ROAD, POINT PLEASANT, NJ 08742","$688,800/$581,800/$1,270,600",$0,"$1,270,600"
201 UNION LN,BRIELLE,NJ,08730,Brielle,2018,"BRIELLE YACHT CLUB, 1671 BEAVER DAM ROAD, POINT PLEASANT, NJ 08742","$645,800/$572,200/$1,218,000",$0,"$1,218,000"
201 UNION LN,BRIELLE,NJ,08730,Brielle,2017,"BRIELLE YACHT CLUB, 1671 BEAVER DAM ROAD 100, POINT PLEASANT, NJ 08742","$615,000/$566,300/$1,181,300",$0,"$1,181,300"
201 UNION LN,BRIELLE,NJ,08730,Brielle,2016,"BRIELLE YACHT CLUB, 1671 BEAVER DAM ROAD 100, POINT PLEASANT, NJ 08742","$615,000/$548,400/$1,163,400",$0,"$1,163,400"
